state,date,sex,ethnicity,population,abs
Johor,1/1/2000,female,bumi_malay,718.2,2760
Johor,1/1/2000,male,bumi_malay,734.3,3985
Johor,1/1/2001,female,bumi_malay,734.6,3032
Johor,1/1/2001,male,bumi_malay,752.3,4263
Johor,1/1/2002,female,bumi_malay,750.4,3274
Johor,1/1/2002,male,bumi_malay,769.5,4332
Johor,1/1/2003,female,bumi_malay,765.2,3204
Johor,1/1/2003,male,bumi_malay,785.8,4436
Johor,1/1/2004,female,bumi_malay,780.6,3253
Johor,1/1/2004,male,bumi_malay,802.2,4463
Johor,1/1/2005,female,bumi_malay,795.4,3387
Johor,1/1/2005,male,bumi_malay,818.5,4582
Johor,1/1/2006,female,bumi_malay,810.3,3463
Johor,1/1/2006,male,bumi_malay,834.7,4714
Johor,1/1/2007,female,bumi_malay,825,3529
Johor,1/1/2007,male,bumi_malay,850.6,5010
Johor,1/1/2008,female,bumi_malay,839.5,3818
Johor,1/1/2008,male,bumi_malay,866.2,5149
Johor,1/1/2009,female,bumi_malay,853.5,3768
Johor,1/1/2009,male,bumi_malay,881.8,5193
Johor,1/1/2010,female,bumi_malay,868.2,3712
Johor,1/1/2010,male,bumi_malay,898.3,5285
Johor,1/1/2011,female,bumi_malay,881.2,3876
Johor,1/1/2011,male,bumi_malay,911.1,5273
Johor,1/1/2012,female,bumi_malay,890.1,4148
Johor,1/1/2012,male,bumi_malay,922.4,5474
Johor,1/1/2013,female,bumi_malay,900.7,4231
Johor,1/1/2013,male,bumi_malay,932.1,5627
Johor,1/1/2014,female,bumi_malay,914.3,4204
Johor,1/1/2014,male,bumi_malay,944.4,5671
Johor,1/1/2015,female,bumi_malay,929,4466
Johor,1/1/2015,male,bumi_malay,957.5,6008
Johor,1/1/2016,female,bumi_malay,940.4,4767
Johor,1/1/2016,male,bumi_malay,968.2,6389
Johor,1/1/2017,female,bumi_malay,956,4911
Johor,1/1/2017,male,bumi_malay,981,6636
Johor,1/1/2018,female,bumi_malay,973.6,5027
Johor,1/1/2018,male,bumi_malay,997.7,6785
Johor,1/1/2019,female,bumi_malay,991.4,5234
Johor,1/1/2019,male,bumi_malay,1014.1,6928
Johor,1/1/2020,female,bumi_malay,1062,4831
Johor,1/1/2020,male,bumi_malay,1096.4,6645
Johor,1/1/2021,female,bumi_malay,1077.5,6736
Johor,1/1/2021,male,bumi_malay,1111.2,8554
Johor,1/1/2022,female,bumi_malay,1087.8,6296
Johor,1/1/2022,male,bumi_malay,1120.7,8021
Johor,1/1/2023,female,bumi_malay,1100.7,5909
Johor,1/1/2023,male,bumi_malay,1133.1,7654
Kedah,1/1/2000,female,bumi_malay,633.4,2971
Kedah,1/1/2000,male,bumi_malay,622.8,3701
Kedah,1/1/2001,female,bumi_malay,644.2,3033
Kedah,1/1/2001,male,bumi_malay,635,3848
Kedah,1/1/2002,female,bumi_malay,654.9,3225
Kedah,1/1/2002,male,bumi_malay,646.8,4121
Kedah,1/1/2003,female,bumi_malay,664.7,3503
Kedah,1/1/2003,male,bumi_malay,657.9,4280
Kedah,1/1/2004,female,bumi_malay,674.7,3340
Kedah,1/1/2004,male,bumi_malay,668.7,4194
Kedah,1/1/2005,female,bumi_malay,684.5,3480
Kedah,1/1/2005,male,bumi_malay,679.3,4249
Kedah,1/1/2006,female,bumi_malay,693.9,3587
Kedah,1/1/2006,male,bumi_malay,689.7,4504
Kedah,1/1/2007,female,bumi_malay,703.3,3660
Kedah,1/1/2007,male,bumi_malay,699.8,4597
Kedah,1/1/2008,female,bumi_malay,712.5,3664
Kedah,1/1/2008,male,bumi_malay,709.7,4643
Kedah,1/1/2009,female,bumi_malay,721.7,3921
Kedah,1/1/2009,male,bumi_malay,720.1,4991
Kedah,1/1/2010,female,bumi_malay,732.2,3933
Kedah,1/1/2010,male,bumi_malay,731.4,4917
Kedah,1/1/2011,female,bumi_malay,741.3,3888
Kedah,1/1/2011,male,bumi_malay,739.9,5151
Kedah,1/1/2012,female,bumi_malay,754.5,4047
Kedah,1/1/2012,male,bumi_malay,753.9,5330
Kedah,1/1/2013,female,bumi_malay,767.7,4231
Kedah,1/1/2013,male,bumi_malay,765.8,5342
Kedah,1/1/2014,female,bumi_malay,780.2,4355
Kedah,1/1/2014,male,bumi_malay,777.8,5622
Kedah,1/1/2015,female,bumi_malay,793.4,4617
Kedah,1/1/2015,male,bumi_malay,790.1,5904
Kedah,1/1/2016,female,bumi_malay,803.7,4744
Kedah,1/1/2016,male,bumi_malay,799.3,5887
Kedah,1/1/2017,female,bumi_malay,814.4,4973
Kedah,1/1/2017,male,bumi_malay,811,6188
Kedah,1/1/2018,female,bumi_malay,823.5,5007
